Movie,Score
Oppenheimer (2023),15.788250719952066
Everything Everywhere All at Once (2022),20.676529659998064
CODA (2021),23.057314174479046
Nomadland (2020),15.888456473165855
Parasite (2019),10.671124926124318
I'm Still Here,29.172009881144493
